stem,utc_datetime,weekday,slot,video_exists,sheet_path
CAMHDA301-20190513T091500,2019-05-13T09:15:00+00:00,Monday,091500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190513T091500.png
CAMHDA301-20190513T121500,2019-05-13T12:15:00+00:00,Monday,121500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190513T121500.png
CAMHDA301-20190513T151500,2019-05-13T15:15:00+00:00,Monday,151500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190513T151500.png
CAMHDA301-20190513T181500,2019-05-13T18:15:00+00:00,Monday,181500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190513T181500.png
CAMHDA301-20190513T211500,2019-05-13T21:15:00+00:00,Monday,211500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190513T211500.png
CAMHDA301-20190520T001500,2019-05-20T00:15:00+00:00,Monday,001500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190520T001500.png
CAMHDA301-20190520T031500,2019-05-20T03:15:00+00:00,Monday,031500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190520T031500.png
CAMHDA301-20190520T061500,2019-05-20T06:15:00+00:00,Monday,061500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190520T061500.png
CAMHDA301-20190520T091500,2019-05-20T09:15:00+00:00,Monday,091500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190520T091500.png
CAMHDA301-20190520T121500,2019-05-20T12:15:00+00:00,Monday,121500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190520T121500.png
CAMHDA301-20190520T151500,2019-05-20T15:15:00+00:00,Monday,151500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190520T151500.png
CAMHDA301-20190520T181500,2019-05-20T18:15:00+00:00,Monday,181500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190520T181500.png
CAMHDA301-20190520T211500,2019-05-20T21:15:00+00:00,Monday,211500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190520T211500.png
CAMHDA301-20190527T001500,2019-05-27T00:15:00+00:00,Monday,001500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190527T001500.png
CAMHDA301-20190527T031500,2019-05-27T03:15:00+00:00,Monday,031500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190527T031500.png
CAMHDA301-20190527T061500,2019-05-27T06:15:00+00:00,Monday,061500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190527T061500.png
CAMHDA301-20190527T091500,2019-05-27T09:15:00+00:00,Monday,091500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190527T091500.png
CAMHDA301-20190527T121500,2019-05-27T12:15:00+00:00,Monday,121500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190527T121500.png
CAMHDA301-20190527T151500,2019-05-27T15:15:00+00:00,Monday,151500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190527T151500.png
CAMHDA301-20190527T181500,2019-05-27T18:15:00+00:00,Monday,181500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190527T181500.png
CAMHDA301-20190527T211500,2019-05-27T21:15:00+00:00,Monday,211500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190527T211500.png
CAMHDA301-20190603T001500,2019-06-03T00:15:00+00:00,Monday,001500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190603T001500.png
CAMHDA301-20190603T031500,2019-06-03T03:15:00+00:00,Monday,031500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190603T031500.png
CAMHDA301-20190603T061500,2019-06-03T06:15:00+00:00,Monday,061500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190603T061500.png
CAMHDA301-20190603T091500,2019-06-03T09:15:00+00:00,Monday,091500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190603T091500.png
CAMHDA301-20190603T121500,2019-06-03T12:15:00+00:00,Monday,121500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190603T121500.png
CAMHDA301-20190603T151500,2019-06-03T15:15:00+00:00,Monday,151500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190603T151500.png
CAMHDA301-20190603T181500,2019-06-03T18:15:00+00:00,Monday,181500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190603T181500.png
CAMHDA301-20190603T211500,2019-06-03T21:15:00+00:00,Monday,211500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190603T211500.png
CAMHDA301-20190610T001500,2019-06-10T00:15:00+00:00,Monday,001500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190610T001500.png
