stem,utc_datetime,weekday,slot,video_exists,sheet_path
CAMHDA301-20230220T151500,2023-02-20T15:15:00+00:00,Monday,151500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230220T151500.png
CAMHDA301-20230220T181500,2023-02-20T18:15:00+00:00,Monday,181500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230220T181500.png
CAMHDA301-20230220T211500,2023-02-20T21:15:00+00:00,Monday,211500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230220T211500.png
CAMHDA301-20230227T001500,2023-02-27T00:15:00+00:00,Monday,001500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230227T001500.png
CAMHDA301-20230227T031500,2023-02-27T03:15:00+00:00,Monday,031500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230227T031500.png
CAMHDA301-20230227T061500,2023-02-27T06:15:00+00:00,Monday,061500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230227T061500.png
CAMHDA301-20230227T091500,2023-02-27T09:15:00+00:00,Monday,091500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230227T091500.png
CAMHDA301-20230227T121500,2023-02-27T12:15:00+00:00,Monday,121500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230227T121500.png
CAMHDA301-20230227T151500,2023-02-27T15:15:00+00:00,Monday,151500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230227T151500.png
CAMHDA301-20230227T181500,2023-02-27T18:15:00+00:00,Monday,181500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230227T181500.png
CAMHDA301-20230227T211500,2023-02-27T21:15:00+00:00,Monday,211500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230227T211500.png
CAMHDA301-20230306T001500,2023-03-06T00:15:00+00:00,Monday,001500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230306T001500.png
CAMHDA301-20230306T031500,2023-03-06T03:15:00+00:00,Monday,031500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230306T031500.png
CAMHDA301-20230306T061500,2023-03-06T06:15:00+00:00,Monday,061500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230306T061500.png
CAMHDA301-20230306T091500,2023-03-06T09:15:00+00:00,Monday,091500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230306T091500.png
CAMHDA301-20230306T121500,2023-03-06T12:15:00+00:00,Monday,121500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230306T121500.png
CAMHDA301-20230306T151500,2023-03-06T15:15:00+00:00,Monday,151500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230306T151500.png
CAMHDA301-20230306T181500,2023-03-06T18:15:00+00:00,Monday,181500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230306T181500.png
CAMHDA301-20230306T211500,2023-03-06T21:15:00+00:00,Monday,211500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230306T211500.png
CAMHDA301-20230313T001500,2023-03-13T00:15:00+00:00,Monday,001500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230313T001500.png
CAMHDA301-20230313T031500,2023-03-13T03:15:00+00:00,Monday,031500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230313T031500.png
CAMHDA301-20230313T061500,2023-03-13T06:15:00+00:00,Monday,061500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230313T061500.png
CAMHDA301-20230313T091500,2023-03-13T09:15:00+00:00,Monday,091500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230313T091500.png
CAMHDA301-20230313T121500,2023-03-13T12:15:00+00:00,Monday,121500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230313T121500.png
CAMHDA301-20230313T151500,2023-03-13T15:15:00+00:00,Monday,151500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230313T151500.png
CAMHDA301-20230313T181500,2023-03-13T18:15:00+00:00,Monday,181500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230313T181500.png
CAMHDA301-20230313T211500,2023-03-13T21:15:00+00:00,Monday,211500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230313T211500.png
CAMHDA301-20230320T001500,2023-03-20T00:15:00+00:00,Monday,001500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230320T001500.png
CAMHDA301-20230320T031500,2023-03-20T03:15:00+00:00,Monday,031500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230320T031500.png
CAMHDA301-20230320T061500,2023-03-20T06:15:00+00:00,Monday,061500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230320T061500.png
CAMHDA301-20230320T091500,2023-03-20T09:15:00+00:00,Monday,091500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230320T091500.png
CAMHDA301-20230320T121500,2023-03-20T12:15:00+00:00,Monday,121500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230320T121500.png
CAMHDA301-20230320T151500,2023-03-20T15:15:00+00:00,Monday,151500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230320T151500.png
CAMHDA301-20230320T181500,2023-03-20T18:15:00+00:00,Monday,181500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230320T181500.png
CAMHDA301-20230320T211500,2023-03-20T21:15:00+00:00,Monday,211500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230320T211500.png
CAMHDA301-20230327T001500,2023-03-27T00:15:00+00:00,Monday,001500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230327T001500.png
CAMHDA301-20230327T031500,2023-03-27T03:15:00+00:00,Monday,031500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230327T031500.png
CAMHDA301-20230327T061500,2023-03-27T06:15:00+00:00,Monday,061500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230327T061500.png
CAMHDA301-20230327T091500,2023-03-27T09:15:00+00:00,Monday,091500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230327T091500.png
CAMHDA301-20230327T121500,2023-03-27T12:15:00+00:00,Monday,121500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230327T121500.png
CAMHDA301-20230327T151500,2023-03-27T15:15:00+00:00,Monday,151500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230327T151500.png
CAMHDA301-20230327T181500,2023-03-27T18:15:00+00:00,Monday,181500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230327T181500.png
CAMHDA301-20230327T211500,2023-03-27T21:15:00+00:00,Monday,211500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230327T211500.png
CAMHDA301-20230403T001500,2023-04-03T00:15:00+00:00,Monday,001500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230403T001500.png
CAMHDA301-20230403T031500,2023-04-03T03:15:00+00:00,Monday,031500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230403T031500.png
CAMHDA301-20230403T061500,2023-04-03T06:15:00+00:00,Monday,061500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230403T061500.png
CAMHDA301-20230403T091500,2023-04-03T09:15:00+00:00,Monday,091500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230403T091500.png
CAMHDA301-20230403T121500,2023-04-03T12:15:00+00:00,Monday,121500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230403T121500.png
CAMHDA301-20230403T151500,2023-04-03T15:15:00+00:00,Monday,151500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230403T151500.png
CAMHDA301-20230403T181500,2023-04-03T18:15:00+00:00,Monday,181500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230403T181500.png
CAMHDA301-20230403T211500,2023-04-03T21:15:00+00:00,Monday,211500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230403T211500.png
CAMHDA301-20230410T001500,2023-04-10T00:15:00+00:00,Monday,001500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230410T001500.png
CAMHDA301-20230410T031500,2023-04-10T03:15:00+00:00,Monday,031500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230410T031500.png
CAMHDA301-20230410T061500,2023-04-10T06:15:00+00:00,Monday,061500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230410T061500.png
CAMHDA301-20230410T091500,2023-04-10T09:15:00+00:00,Monday,091500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230410T091500.png
CAMHDA301-20230410T121500,2023-04-10T12:15:00+00:00,Monday,121500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230410T121500.png
CAMHDA301-20230410T151500,2023-04-10T15:15:00+00:00,Monday,151500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230410T151500.png
CAMHDA301-20230410T181500,2023-04-10T18:15:00+00:00,Monday,181500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230410T181500.png
CAMHDA301-20230410T211500,2023-04-10T21:15:00+00:00,Monday,211500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230410T211500.png
CAMHDA301-20230417T001500,2023-04-17T00:15:00+00:00,Monday,001500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230417T001500.png
CAMHDA301-20230417T031500,2023-04-17T03:15:00+00:00,Monday,031500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230417T031500.png
CAMHDA301-20230417T061500,2023-04-17T06:15:00+00:00,Monday,061500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230417T061500.png
CAMHDA301-20230417T091500,2023-04-17T09:15:00+00:00,Monday,091500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230417T091500.png
CAMHDA301-20230417T121500,2023-04-17T12:15:00+00:00,Monday,121500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230417T121500.png
CAMHDA301-20230417T151500,2023-04-17T15:15:00+00:00,Monday,151500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230417T151500.png
CAMHDA301-20230417T181500,2023-04-17T18:15:00+00:00,Monday,181500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230417T181500.png
CAMHDA301-20230417T211500,2023-04-17T21:15:00+00:00,Monday,211500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230417T211500.png
CAMHDA301-20230424T001500,2023-04-24T00:15:00+00:00,Monday,001500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230424T001500.png
CAMHDA301-20230424T031500,2023-04-24T03:15:00+00:00,Monday,031500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230424T031500.png
CAMHDA301-20230424T061500,2023-04-24T06:15:00+00:00,Monday,061500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230424T061500.png
CAMHDA301-20230424T091500,2023-04-24T09:15:00+00:00,Monday,091500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230424T091500.png
CAMHDA301-20230424T121500,2023-04-24T12:15:00+00:00,Monday,121500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230424T121500.png
CAMHDA301-20230424T151500,2023-04-24T15:15:00+00:00,Monday,151500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230424T151500.png
CAMHDA301-20230424T181500,2023-04-24T18:15:00+00:00,Monday,181500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230424T181500.png
CAMHDA301-20230424T211500,2023-04-24T21:15:00+00:00,Monday,211500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230424T211500.png
CAMHDA301-20230501T001500,2023-05-01T00:15:00+00:00,Monday,001500,False,
CAMHDA301-20230501T031500,2023-05-01T03:15:00+00:00,Monday,031500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230501T031500.png
CAMHDA301-20230501T061500,2023-05-01T06:15:00+00:00,Monday,061500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230501T061500.png
CAMHDA301-20230501T091500,2023-05-01T09:15:00+00:00,Monday,091500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230501T091500.png
