ym,ts,n_frames,n_black,sharp_median,sharp_p90,sharp_max,brightness,contrast,note,path
2022-W52,20221230T211500,8,0,649.9,896.4,1007.0,93.60,53.33,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/12/30/CAMHDA301-20221230T211500.mp4
2022-W52,20230101T184500,8,0,133.1,174.0,181.4,121.05,19.53,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/01/CAMHDA301-20230101T184500.mp4
2023-W01,20230102T000000,8,0,181.1,231.6,238.9,118.43,35.83,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/02/CAMHDA301-20230102T000000.mp4
2022-W52,20221228T091500,8,0,567.5,577.9,579.8,104.52,53.58,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/12/28/CAMHDA301-20221228T091500.mp4
2022-W52,20230101T234500,8,0,166.9,237.5,300.9,116.92,38.26,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/01/CAMHDA301-20230101T234500.mp4
2023-W01,20230102T081500,8,0,166.8,192.5,199.4,114.81,18.10,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/02/CAMHDA301-20230102T081500.mp4
2022-W52,20230101T134500,8,0,203.2,324.6,399.2,119.75,39.35,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/01/CAMHDA301-20230101T134500.mp4
2023-W01,20230102T163000,8,0,231.0,337.7,357.7,91.35,17.30,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/02/CAMHDA301-20230102T163000.mp4
2023-W01,20230103T090000,8,0,88.7,108.9,130.2,69.56,34.90,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/03/CAMHDA301-20230103T090000.mp4
2023-W01,20230103T004500,8,0,242.1,317.4,389.8,111.95,50.39,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/03/CAMHDA301-20230103T004500.mp4
2023-W01,20230103T171500,8,0,561.1,639.8,680.0,95.88,66.24,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/03/CAMHDA301-20230103T171500.mp4
2023-W01,20230104T181500,8,0,545.4,1005.8,1017.4,88.19,55.31,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/04/CAMHDA301-20230104T181500.mp4
2023-W02,20230109T001500,8,0,521.0,866.1,986.3,88.24,55.61,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/09/CAMHDA301-20230109T001500.mp4
2023-W02,20230110T081500,8,0,336.7,527.4,678.4,116.49,39.67,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/10/CAMHDA301-20230110T081500.mp4
2023-W01,20230108T211500,8,0,535.0,697.3,741.3,87.77,53.99,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/08/CAMHDA301-20230108T211500.mp4
2023-W02,20230110T133000,8,0,203.9,244.5,281.8,88.60,38.33,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/10/CAMHDA301-20230110T133000.mp4
2023-W02,20230110T031500,8,0,271.1,305.6,341.3,119.92,40.62,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/10/CAMHDA301-20230110T031500.mp4
2023-W02,20230113T061500,8,0,212.1,543.0,725.9,90.60,49.76,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/13/CAMHDA301-20230113T061500.mp4
2023-W02,20230110T183000,8,0,101.3,113.3,113.5,88.47,41.31,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/10/CAMHDA301-20230110T183000.mp4
2023-W02,20230110T234500,8,0,480.7,531.5,562.3,94.75,66.61,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/10/CAMHDA301-20230110T234500.mp4
2023-W03,20230116T001500,8,0,460.1,892.2,1257.6,90.49,55.19,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/16/CAMHDA301-20230116T001500.mp4
2023-W02,20230115T211500,8,0,516.9,836.6,1214.9,89.88,51.08,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/15/CAMHDA301-20230115T211500.mp4
2023-W03,20230120T021500,8,0,546.8,608.3,683.1,86.81,60.34,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/20/CAMHDA301-20230120T021500.mp4
2023-W03,20230120T073000,8,0,122.7,188.6,264.1,117.80,25.68,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/20/CAMHDA301-20230120T073000.mp4
2023-W03,20230118T121500,8,0,249.3,605.1,868.1,86.81,53.61,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/18/CAMHDA301-20230118T121500.mp4
2023-W03,20230120T224500,8,0,419.9,640.2,665.2,103.83,56.94,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/20/CAMHDA301-20230120T224500.mp4
2023-W03,20230122T211500,8,0,366.9,828.5,1105.7,87.11,53.17,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/22/CAMHDA301-20230122T211500.mp4
2023-W04,20230123T211500,8,0,519.3,862.5,1336.7,87.54,54.87,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/23/CAMHDA301-20230123T211500.mp4
2023-W04,20230124T211500,8,0,444.2,922.9,1114.0,87.61,56.57,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/24/CAMHDA301-20230124T211500.mp4
2023-W03,20230120T123000,8,0,178.5,211.1,216.7,84.74,39.09,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/20/CAMHDA301-20230120T123000.mp4
2023-W03,20230120T174500,8,0,333.3,371.0,404.0,104.53,54.54,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/20/CAMHDA301-20230120T174500.mp4
2023-W04,20230123T001500,8,0,559.2,1068.9,1314.9,86.30,52.96,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/23/CAMHDA301-20230123T001500.mp4
2023-W04,20230125T211500,8,0,385.7,994.6,1315.2,85.77,55.37,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/25/CAMHDA301-20230125T211500.mp4
2023-W04,20230126T211500,8,0,384.0,941.5,1262.8,87.42,53.92,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/26/CAMHDA301-20230126T211500.mp4
2023-W04,20230127T211500,8,0,360.8,594.2,615.4,85.44,53.93,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/27/CAMHDA301-20230127T211500.mp4
2023-W04,20230128T211500,8,0,356.4,758.9,785.4,86.60,54.85,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/28/CAMHDA301-20230128T211500.mp4
2023-W04,20230129T211500,8,0,395.9,903.9,1441.5,89.29,53.30,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/29/CAMHDA301-20230129T211500.mp4
2023-W05,20230130T001500,8,0,661.0,881.6,1005.7,87.66,54.48,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/30/CAMHDA301-20230130T001500.mp4
2023-W05,20230202T064500,8,0,126.6,173.6,200.3,114.23,25.44,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/02/02/CAMHDA301-20230202T064500.mp4
2023-W05,20230201T081500,8,0,381.6,440.0,488.1,87.01,56.43,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/02/01/CAMHDA301-20230201T081500.mp4
2023-W05,20230202T180000,8,0,76.2,151.7,155.4,96.71,23.49,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/02/02/CAMHDA301-20230202T180000.mp4
2023-W05,20230201T193000,8,0,318.5,458.1,514.1,119.86,38.59,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/02/01/CAMHDA301-20230201T193000.mp4
2023-W05,20230203T163000,8,0,428.9,512.3,573.1,94.63,68.27,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/02/03/CAMHDA301-20230203T163000.mp4
2023-W05,20230203T051500,8,0,144.7,210.2,231.7,105.50,51.10,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/02/03/CAMHDA301-20230203T051500.mp4
2023-W05,20230205T211500,8,0,518.1,700.3,720.4,85.04,52.77,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/02/05/CAMHDA301-20230205T211500.mp4
2023-W06,20230206T001500,8,0,324.2,855.0,1294.0,85.47,52.63,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/02/06/CAMHDA301-20230206T001500.mp4
2023-W06,20230208T121500,8,0,487.3,624.4,680.8,86.78,53.74,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/02/08/CAMHDA301-20230208T121500.mp4
2023-W06,20230210T021500,8,0,419.5,626.4,721.8,86.84,56.61,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/02/10/CAMHDA301-20230210T021500.mp4
