frame_id,date,model,ai_count,in_training
CAMHDA301-20221004T001500,2022-10-04,v2,8,False
CAMHDA301-20221004T061500,2022-10-04,v2,9,False
CAMHDA301-20221004T091500,2022-10-04,v2,13,False
CAMHDA301-20221004T121500,2022-10-04,v2,23,False
CAMHDA301-20221004T151500,2022-10-04,v2,12,False
CAMHDA301-20221004T181500,2022-10-04,v2,10,False
CAMHDA301-20221004T211500,2022-10-04,v2,13,False
CAMHDA301-20221011T001500,2022-10-11,v2,14,False
CAMHDA301-20221011T031500,2022-10-11,v2,14,False
CAMHDA301-20221011T061500,2022-10-11,v2,0,False
CAMHDA301-20221011T091500,2022-10-11,v2,12,False
CAMHDA301-20221011T121500,2022-10-11,v2,15,False
CAMHDA301-20221011T181500,2022-10-11,v2,13,False
CAMHDA301-20221011T211500,2022-10-11,v2,14,False
CAMHDA301-20221018T001500,2022-10-18,v2,7,False
CAMHDA301-20221018T031500,2022-10-18,v2,8,False
CAMHDA301-20221018T061500,2022-10-18,v2,7,False
CAMHDA301-20221018T091500,2022-10-18,v2,18,False
CAMHDA301-20221018T121500,2022-10-18,v2,12,False
CAMHDA301-20221018T151500,2022-10-18,v2,20,False
CAMHDA301-20221018T211500,2022-10-18,v2,17,False
CAMHDA301-20221025T001500,2022-10-25,v2,13,False
CAMHDA301-20221025T031500,2022-10-25,v2,16,False
CAMHDA301-20221025T091500,2022-10-25,v2,15,False
CAMHDA301-20221025T121500,2022-10-25,v2,17,False
CAMHDA301-20221025T151500,2022-10-25,v2,20,False
CAMHDA301-20221025T181500,2022-10-25,v2,11,False
CAMHDA301-20221025T211500,2022-10-25,v2,17,False
CAMHDA301-20221101T091500,2022-11-01,v2,15,False
CAMHDA301-20221101T151500,2022-11-01,v2,19,False
CAMHDA301-20221108T001500,2022-11-08,v2,14,False
CAMHDA301-20221108T031500,2022-11-08,v2,14,False
CAMHDA301-20221108T091500,2022-11-08,v2,7,False
CAMHDA301-20221108T121500,2022-11-08,v2,19,False
CAMHDA301-20221108T181500,2022-11-08,v2,13,False
CAMHDA301-20221108T211500,2022-11-08,v2,8,False
CAMHDA301-20221115T001500,2022-11-15,v2,4,False
CAMHDA301-20221115T031500,2022-11-15,v2,11,False
CAMHDA301-20221115T061500,2022-11-15,v2,19,False
CAMHDA301-20221115T091500,2022-11-15,v2,20,False
CAMHDA301-20221115T121500,2022-11-15,v2,11,False
CAMHDA301-20221115T181500,2022-11-15,v2,17,False
CAMHDA301-20221115T211500,2022-11-15,v2,9,False
CAMHDA301-20221122T001500,2022-11-22,v2,16,False
CAMHDA301-20221122T031500,2022-11-22,v2,14,False
CAMHDA301-20221122T061500,2022-11-22,v2,7,False
CAMHDA301-20221122T091500,2022-11-22,v2,21,False
