ym,ts,n_frames,n_black,sharp_median,sharp_p90,sharp_max,brightness,contrast,note,path
2025-06,20250623T031500,8,0,337.1,436.0,473.5,77.71,42.38,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/06/23/CAMHDA301-20250623T031500.mp4
2025-07,20250702T080000,8,0,237.3,308.4,385.8,115.22,27.33,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/07/02/CAMHDA301-20250702T080000.mp4
2025-06,20250630T211500,8,0,282.9,506.6,552.5,77.64,42.42,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/06/30/CAMHDA301-20250630T211500.mp4
2025-07,20250701T163000,8,0,123.2,149.6,153.8,83.83,42.94,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/07/01/CAMHDA301-20250701T163000.mp4
2025-07,20250702T234500,8,0,247.2,304.7,321.9,124.60,42.37,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/07/02/CAMHDA301-20250702T234500.mp4
2025-07,20250701T010000,8,0,424.1,506.1,524.4,74.49,48.93,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/07/01/CAMHDA301-20250701T010000.mp4
2025-07,20250710T103000,8,0,105.7,124.7,126.3,115.06,40.79,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/07/10/CAMHDA301-20250710T103000.mp4
2025-07,20250703T151500,8,0,168.2,207.0,242.9,118.34,38.47,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/07/03/CAMHDA301-20250703T151500.mp4
2025-07,20250707T061500,8,0,383.5,521.2,534.9,77.40,46.47,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/07/07/CAMHDA301-20250707T061500.mp4
2025-07,20250711T211500,8,0,168.1,428.8,452.3,77.01,44.07,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/07/11/CAMHDA301-20250711T211500.mp4
2025-07,20250719T091500,8,0,639.0,654.5,688.1,84.90,52.93,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/07/19/CAMHDA301-20250719T091500.mp4
2025-07,20250720T144500,8,0,257.0,263.1,265.1,84.78,51.79,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/07/20/CAMHDA301-20250720T144500.mp4
2025-07,20250724T001500,8,0,201.3,485.1,506.1,79.04,46.81,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/07/24/CAMHDA301-20250724T001500.mp4
2025-07,20250731T211500,8,0,195.7,532.6,580.5,78.02,46.33,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/07/31/CAMHDA301-20250731T211500.mp4
2025-08,20250801T010000,8,0,536.1,560.2,567.1,71.52,51.85,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/08/01/CAMHDA301-20250801T010000.mp4
2025-08,20250802T080000,8,0,281.2,492.3,518.6,105.37,33.06,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/08/02/CAMHDA301-20250802T080000.mp4
2025-08,20250801T163000,8,0,164.9,188.8,190.3,76.63,52.25,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/08/01/CAMHDA301-20250801T163000.mp4
2025-08,20250807T061500,8,0,302.4,733.4,871.5,79.58,47.37,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/08/07/CAMHDA301-20250807T061500.mp4
2025-08,20250802T233000,8,0,325.1,387.3,455.0,121.91,44.16,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/08/02/CAMHDA301-20250802T233000.mp4
2025-08,20250803T151500,8,0,99.9,142.6,160.3,117.16,39.92,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/08/03/CAMHDA301-20250803T151500.mp4
2025-08,20250811T151500,8,0,561.7,1226.2,1304.8,81.70,49.05,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/08/11/CAMHDA301-20250811T151500.mp4
2025-08,20250810T100000,8,0,39.3,51.7,56.9,32.63,4.28,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/08/10/CAMHDA301-20250810T100000.mp4
2025-08,20250819T121500,8,0,571.2,1427.7,1756.1,75.98,51.06,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/08/19/CAMHDA301-20250819T121500.mp4
2025-08,20250824T001500,8,0,363.8,994.5,1317.2,78.36,42.17,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/08/24/CAMHDA301-20250824T001500.mp4
2025-08,20250831T211500,8,0,170.5,653.8,800.0,77.68,41.19,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/08/31/CAMHDA301-20250831T211500.mp4
2025-08,20250820T144500,8,0,79.4,79.5,79.6,33.22,3.41,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/08/20/CAMHDA301-20250820T144500.mp4
2025-09,20250908T091500,0,8,,,,,,all-black,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/09/08/CAMHDA301-20250908T091500.mp4
2025-09,20250910T103000,0,8,,,,,,all-black,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/09/10/CAMHDA301-20250910T103000.mp4
2025-09,20250901T010000,8,0,451.8,663.2,721.8,74.30,54.61,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/09/01/CAMHDA301-20250901T010000.mp4
2025-09,20250901T141500,8,0,21.2,26.9,30.2,25.71,2.14,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/09/01/CAMHDA301-20250901T141500.mp4
2025-09,20250910T234500,0,8,,,,,,all-black,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/09/10/CAMHDA301-20250910T234500.mp4
2025-09,20250902T033000,0,8,,,,,,all-black,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/09/02/CAMHDA301-20250902T033000.mp4
2025-09,20250917T121500,0,8,,,,,,all-black,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/09/17/CAMHDA301-20250917T121500.mp4
2025-09,20250902T170000,0,8,,,,,,all-black,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/09/02/CAMHDA301-20250902T170000.mp4
2025-09,20250903T194500,0,8,,,,,,all-black,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/09/03/CAMHDA301-20250903T194500.mp4
2025-09,20250903T061500,0,8,,,,,,all-black,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/09/03/CAMHDA301-20250903T061500.mp4
2025-09,20250930T211500,8,0,263.5,294.3,311.3,52.68,40.61,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/09/30/CAMHDA301-20250930T211500.mp4
2025-09,20250924T031500,8,0,235.9,283.7,292.4,55.46,38.21,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/09/24/CAMHDA301-20250924T031500.mp4
2025-10,20251001T001500,8,0,174.0,235.9,253.2,60.93,35.08,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/10/01/CAMHDA301-20251001T001500.mp4
2025-10,20251003T181500,8,0,137.7,200.6,234.9,64.68,34.01,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/10/03/CAMHDA301-20251003T181500.mp4
2025-10,20251020T151500,0,8,,,,,,all-black,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/10/20/CAMHDA301-20251020T151500.mp4
2025-10,20251009T091500,8,0,202.7,238.1,247.0,51.95,39.96,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/10/09/CAMHDA301-20251009T091500.mp4
